screen_id,name,route,priority,owner,linked_requirements,primary_components,ipc_touchpoints,navigation_entry
SCR-BOOT,Boot / Startup Screen,internal://boot,P0,App Shell,"ND-APP-001, ND-APP-003, ND-DIAG-003, ND-PKG-001","AppShell, TopStatusBar, DiagnosticsPanel, Toast","app:getVersion, app:getRuntimeInfo, diagnostics:healthCheck, settings:get",System startup only
SCR-ONB,First-Run Onboarding,/onboarding,P0,App Shell / Settings,"ND-SET-001, ND-MDL-001, ND-CTL-002, ND-SEC-002","AppShell, Panel, Button, TextInput, Select, ModelCard, ConfirmDialog","settings:get, settings:set, model:listProviders, secrets:set, diagnostics:healthCheck",Boot -> Onboarding; Settings -> Restart Onboarding
SCR-WKS,AI Workspace,/workspace,P0,Workspace,"ND-WKS-001, ND-WKS-002, ND-WKS-003, ND-WKS-004, ND-WKS-005, ND-CTL-001","AppShell, ChatViewport, ResponseCard, InputConsole, MemoryPanel, AgentCard, TopStatusBar, TelemetryWidget, CommandPalette","session:getActive, session:update, model:runPrompt, model:cancel, model:regenerate, memory:list, persona:getActive, agent:list",Primary default route
SCR-CMD,Command Palette Overlay,overlay://command-palette,P0,App Shell,"ND-APP-004, ND-CTL-002, ND-HRM-003","CommandPalette, TextInput, Badge, IconButton, Toast","command:list, command:run, hermes:listCommands, hermes:run","Start/Menu button, Ctrl+K, top bar action"
SCR-MDL,Model Manager,/models,P0,Model Service,"ND-MDL-001, ND-MDL-002, ND-MDL-003, ND-MDL-004, ND-SEC-002","ModelCard, Panel, Button, Select, TextInput, ConfirmDialog, DiagnosticsPanel, Toast","model:list, model:getProvider, model:testProvider, model:setDefault, secrets:set, secrets:getStatus, diagnostics:modelCheck",NavRail -> Models; Command Palette -> Models
SCR-AGT,Agent Manager,/agents,P1,Agent Service,"ND-AGT-001, ND-AGT-002, ND-PRS-001, ND-PRS-002","AgentCard, Panel, Button, Select, Badge, ConfirmDialog, TextInput","agent:list, agent:get, agent:create, agent:update, agent:runTask, persona:list, persona:get",NavRail -> Agents; Workspace Context Rail -> Manage Agents
SCR-MEM,Memory and Context Manager,/memory,P1,Memory Service,"ND-MEM-001, ND-MEM-002, ND-MEM-003, ND-WKS-004","MemoryPanel, Panel, TextInput, Button, Badge, ConfirmDialog, Toast","memory:list, memory:get, memory:create, memory:update, memory:delete, memory:search, memory:setVisibility",NavRail -> Memory; Workspace MemoryPanel -> Expand
SCR-SES,Session Browser,/sessions,P0,Session Service,"ND-SES-001, ND-SES-002, ND-SES-003, ND-SES-004","SessionCard, Panel, TextInput, Select, Button, ConfirmDialog, Toast","session:list, session:get, session:create, session:rename, session:delete, session:export, session:archive",NavRail -> Sessions; Workspace -> Session menu
SCR-PLG,Plugins and Hermes Extensions,/extensions,P0,Hermes Extension Service,"ND-HRM-001, ND-HRM-002, ND-HRM-003, ND-HRM-004, ND-HRM-005","PluginCard, Panel, Badge, Button, ConfirmDialog, DiagnosticsPanel, Toast","hermes:listExtensions, hermes:installLocal, hermes:run, hermes:setTrust, hermes:getManifest, hermes:doctor",NavRail -> Extensions; Command Palette -> Hermes
SCR-SET,Settings Hub,/settings,P0,Settings Service,"ND-SET-001, ND-SET-002, ND-SET-003, ND-DSN-002, ND-CTL-003","Panel, Button, Select, TextInput, Badge, ConfirmDialog, Toast","settings:get, settings:set, settings:reset, app:getRuntimeInfo, secrets:getStatus",NavRail -> Settings; Command Palette -> Settings
SCR-SEC,Security and Privacy Center,/settings/security,P0,Security Service,"ND-SEC-001, ND-SEC-002, ND-SEC-003, ND-SEC-004, ND-HRM-004","Panel, Badge, Button, ConfirmDialog, DiagnosticsPanel, Toast","secrets:getStatus, secrets:delete, security:getReport, security:audit, hermes:listExtensions, logs:redactionTest",Settings -> Security; Command Palette -> Security
SCR-DIAG,Diagnostics Dashboard,/diagnostics,P0,Diagnostics Service,"ND-DIAG-001, ND-DIAG-002, ND-DIAG-003, ND-PKG-003","DiagnosticsPanel, TelemetryWidget, Panel, Button, Badge, Toast","diagnostics:healthCheck, diagnostics:getReport, logs:list, logs:open, app:getRuntimeInfo, model:list, hermes:doctor",NavRail -> Diagnostics; Boot Recovery -> Diagnostics; Command Palette
SCR-THEME,Theme Manager,/settings/themes,P1,Design System,"ND-DSN-001, ND-DSN-002, ND-DSN-003, ND-CTL-001","Panel, Button, Select, Badge, ConfirmDialog, Toast","settings:get, settings:set, app:getRuntimeInfo",Settings -> Appearance; Command Palette -> Theme
SCR-EXP,Export Manager,/exports,P1,Session Service,"ND-SES-003, ND-DIAG-002, ND-SEC-004","Panel, Select, Button, SessionCard, ConfirmDialog, Toast","session:export, session:list, logs:export, diagnostics:getReport",Session Browser -> Export; Workspace -> Export; Command Palette
SCR-UPD,Update and Maintenance,/maintenance,P1,Update Service,"ND-PKG-001, ND-PKG-002, ND-PKG-003, ND-DIAG-003","Panel, Button, Badge, DiagnosticsPanel, ConfirmDialog, Toast","app:getVersion, update:check, update:download, update:apply, settings:get, diagnostics:healthCheck",Settings -> Maintenance; Diagnostics -> Updates
SCR-ERR,Error Recovery Center,/recovery,P0,App Shell / Diagnostics,"ND-APP-003, ND-DIAG-003, ND-SET-003, ND-SEC-004","Panel, Button, DiagnosticsPanel, ConfirmDialog, Toast","diagnostics:getReport, settings:reset, logs:export, app:restart, app:getRuntimeInfo",Boot failure; fatal error; diagnostics critical action
